Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
4;27;m;0,17245%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;28;m;0,18429%;0,01678%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;29;m;0,19552%;0,01777%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;30;m;0,20601%;0,01952%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;31;m;0,21574%;0,02218%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;32;m;0,22491%;0,02529%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;33;m;0,23393%;0,02899%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;34;m;0,24317%;0,03319%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;35;m;0,25310%;0,03802%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;36;m;0,26415%;0,04361%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;37;m;0,27667%;0,05000%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;38;m;0,29081%;0,05690%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;39;m;0,30659%;0,06449%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;40;m;0,32403%;0,07278%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;41;m;0,34315%;0,08169%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;42;m;0,36420%;0,09180%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;43;m;0,38729%;0,10282%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;44;m;0,41244%;0,11463%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;45;m;0,43973%;0,12707%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;46;m;0,46931%;0,14021%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;47;m;0,50146%;0,15617%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;48;m;0,53619%;0,17343%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;49;m;0,57331%;0,19226%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
